name,verbal,perc_elig
Alabama,560,8
Alaska,520,46
Arizona,524,32
Arkansas,566,6
California,497,49
Colorado,536,32
Connecticut,510,80
Delaware,503,67
District of Columbia,489,77
Florida,498,53
Georgia,487,63
Hawaii,485,57
Idaho,542,17
Illinois,560,12
Indiana,499,60
Iowa,594,5
Kansas,578,9
Kentucky,547,12
Louisiana,561,8
Maine,504,68
Maryland,507,65
Massachusetts,511,80
Michigan,557,11
Minnesota,586,9
Mississippi,562,4
Missouri,572,8
Montana,539,21
Nebraska,562,8
Nevada,512,34
New Hampshire,520,72
New Jersey,498,80
New Mexico,549,13
New York,494,77
North Carolina,492,65
North Dakota,592,5
Ohio,534,26
Oklahoma,567,8
Oregon,525,55
Pennsylvania,500,71
Rhode Island,503,71
South Carolina,486,61
South Dakota,587,4
Tennessee,562,13
Texas,491,53
Utah,575,5
Vermont,514,71
Virginia,510,68
Washington,531,53
West Virginia,527,18
Wisconsin,584,7
Wyoming,547,11
USA,506,42
